group,Team,Year,name,value,,,,,,,,,,,
D,VAN,14_15,Hamhuis,4.5,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Hamhuis"",""value"":4.5,""group"":""D"",""team"":""VAN"",""year"":""14_15""},"
D,VAN,14_15,Sbisa,2.175,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sbisa"",""value"":2.175,""group"":""D"",""team"":""VAN"",""year"":""14_15""},"
D,VAN,14_15,Tanev,2,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Tanev"",""value"":2,""group"":""D"",""team"":""VAN"",""year"":""14_15""},"
D,VAN,14_15,Weber,0.85,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Weber"",""value"":0.85,""group"":""D"",""team"":""VAN"",""year"":""14_15""},"
D,VAN,14_15,Stanton,0.55,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Stanton"",""value"":0.55,""group"":""D"",""team"":""VAN"",""year"":""14_15""},"
G,VAN,14_15,Miller,6,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Miller"",""value"":6,""group"":""G"",""team"":""VAN"",""year"":""14_15""},"
G,VAN,14_15,Lack,1.15,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Lack"",""value"":1.15,""group"":""G"",""team"":""VAN"",""year"":""14_15""},"
O,VAN,14_15,Luongo,0.8,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Luongo"",""value"":0.8,""group"":""O"",""team"":""VAN"",""year"":""14_15""},"
O,VAN,14_15,Sestito,0.351,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Sestito"",""value"":0.351,""group"":""O"",""team"":""VAN"",""year"":""14_15""},"
O,VAN,14_15,Markstrom,0.211,,{,},"""",",","""name"":","""value"":","""group"":","""team"":","""year"":","{""name"":""Markstrom"",""value"":0.211,""group"":""O"",""team"":""VAN"",""year"":""14_15""},"
